service_id,date,exception_type
262@1,20230421,2
2701@5,20230421,1
2701@1,20230421,2
2631@5,20230421,1
2631@1,20230421,2
2632@5,20230421,1
2632@1,20230421,2
264@5,20230421,1
264@1,20230421,2
165@5,20230421,1
165@1,20230421,2
266@5,20230421,1
266@1,20230421,2
286@5,20230421,1
286@1,20230421,2
284@5,20230421,1
284@1,20230421,2
A87@5,20230421,1
A87@1,20230421,2
289@5,20230421,1
289@1,20230421,2
A69@5,20230421,1
A69@1,20230421,2
2843@5,20230421,1
2843@1,20230421,2
268@5,20230421,1
268@1,20230421,2
2733@5,20230421,1
2733@1,20230421,2
A74@5,20230421,1
A74@1,20230421,2
2672@5,20230421,1
2672@1,20230421,2
M68@5,20230421,1
M68@1,20230421,2
2685@5,20230421,1
2685@1,20230421,2
2671@5,20230421,1
2671@1,20230421,2
272@5,20230421,1
272@1,20230421,2
2731@5,20230421,1
2731@1,20230421,2
274@5,20230421,1
274@1,20230421,2
2741@5,20230421,1
2741@1,20230421,2
A81@5,20230421,1
A81@1,20230421,2
283@5,20230421,1
283@1,20230421,2
A85@5,20230421,1
A85@1,20230421,2
30.2@5,20230421,1
30.2@1,20230421,2
T12@5,20230421,1
T12@1,20230421,2
343@5,20230421,1
343@1,20230421,2
344@5,20230421,1
344@1,20230421,2
3441@5,20230421,1
3441@1,20230421,2
3442@5,20230421,1
3442@1,20230421,2
3462@5,20230421,1
3462@1,20230421,2
347@5,20230421,1
347@1,20230421,2
349@5,20230421,1
349@1,20230421,2
353@5,20230421,1
353@1,20230421,2
361@5,20230421,1
361@1,20230421,2
375@5,20230421,1
375@1,20230421,2
3762@5,20230421,1
3762@1,20230421,2
394@5,20230421,1
394@1,20230421,2
3946@5,20230421,1
3946@1,20230421,2
397@5,20230421,1
397@1,20230421,2
398@5,20230421,1
398@1,20230421,2
M98@5,20230421,1
M98@1,20230421,2
A99@5,20230421,1
A99@1,20230421,2
A991@5,20230421,1
A991@1,20230421,2
3984@5,20230421,1
3984@1,20230421,2
A98@5,20230421,1
A98@1,20230421,2
40.41@5,20230421,1
40.41@1,20230421,2
429@5,20230421,1
429@1,20230421,2
4292@5,20230421,1
4292@1,20230421,2
4321@5,20230421,1
4321@1,20230421,2
433@5,20230421,1
433@1,20230421,2
470@5,20230421,1
470@1,20230421,2
436@5,20230421,1
436@1,20230421,2
4382@5,20230421,1
4382@1,20230421,2
441@5,20230421,1
441@1,20230421,2
T8@5,20230421,1
T8@1,20230421,2
473@5,20230421,1
473@1,20230421,2
M76@5,20230421,1
M76@1,20230421,2
A97@5,20230421,1
A97@1,20230421,2
A974@5,20230421,1
A974@1,20230421,2
491@5,20230421,1
491@1,20230421,2
4944@5,20230421,1
4944@1,20230421,2
4951@5,20230421,1
4951@1,20230421,2
50.1@5,20230421,1
50.1@1,20230421,2
5203@5,20230421,1
5203@1,20230421,2
525@5,20230421,1
525@1,20230421,2
T7@5,20230421,1
T7@1,20230421,2
60.1@5,20230421,1
60.1@1,20230421,2
60.4@5,20230421,1
60.4@1,20230421,2
60.5@5,20230421,1
60.5@1,20230421,2
605@5,20230421,1
605@1,20230421,2
608@5,20230421,1
608@1,20230421,2
6102@5,20230421,1
6102@1,20230421,2
6135@5,20230421,1
6135@1,20230421,2
620@5,20230421,1
620@1,20230421,2
520@5,20230421,1
520@1,20230421,2
621@5,20230421,1
621@1,20230421,2
624@5,20230421,1
624@1,20230421,2
B25@5,20230421,1
B25@1,20230421,2
627@5,20230421,1
627@1,20230421,2
A27@5,20230421,1
A27@1,20230421,2
6276@5,20230421,1
6276@1,20230421,2
631@5,20230421,1
631@1,20230421,2
M21@5,20230421,1
M21@1,20230421,2
M31@5,20230421,1
M31@1,20230421,2
632@5,20230421,1
632@1,20230421,2
637@5,20230421,1
637@1,20230421,2
6372@5,20230421,1
6372@1,20230421,2
650@5,20230421,1
650@1,20230421,2
652@5,20230421,1
652@1,20230421,2
M52@5,20230421,1
M52@1,20230421,2
6531@5,20230421,1
6531@1,20230421,2
654@5,20230421,1
654@1,20230421,2
656@5,20230421,1
656@1,20230421,2
B51@5,20230421,1
B51@1,20230421,2
659@5,20230421,1
659@1,20230421,2
A62@5,20230421,1
A62@1,20230421,2
662@5,20230421,1
662@1,20230421,2
661@5,20230421,1
661@1,20230421,2
E30.2@5,20230421,1
E30.2@1,20230421,2
B02@5,20230421,1
B02@1,20230421,2
B024@5,20230421,1
B024@1,20230421,2
665@5,20230421,1
665@1,20230421,2
B55@5,20230421,1
B55@1,20230421,2
703@5,20230421,1
703@1,20230421,2
704@5,20230421,1
704@1,20230421,2
7041@5,20230421,1
7041@1,20230421,2
7052@5,20230421,1
7052@1,20230421,2
7151@5,20230421,1
7151@1,20230421,2
718@5,20230421,1
718@1,20230421,2
C2@5,20230421,1
C2@1,20230421,2
C5@5,20230421,1
C5@1,20230421,2
B09@5,20230421,1
B09@1,20230421,2
B094@5,20230421,1
B094@1,20230421,2
A952@5,20230421,1
A952@1,20230421,2
A953@5,20230421,1
A953@1,20230421,2
A954@5,20230421,1
A954@1,20230421,2
E10@5,20230501,1
E10@1,20230501,2
T1@5,20230501,1
T1@1,20230501,2
T11@5,20230501,1
T11@1,20230501,2
T2@5,20230501,1
T2@1,20230501,2
T2A@5,20230501,1
T2A@1,20230501,2
T3@5,20230501,1
T3@1,20230501,2
10.4@5,20230501,1
10.4@1,20230501,2
T4@5,20230501,1
T4@1,20230501,2
10.52@5,20230501,1
10.52@1,20230501,2
T52@5,20230501,1
T52@1,20230501,2
10.6@5,20230501,1
10.6@1,20230501,2
T6@5,20230501,1
T6@1,20230501,2
10.61@5,20230501,1
10.61@1,20230501,2
10.62@5,20230501,1
10.62@1,20230501,2
10.7@5,20230501,1
10.7@1,20230501,2
T9@5,20230501,1
T9@1,20230501,2
A14@5,20230501,1
A14@1,20230501,2
A141@5,20230501,1
A141@1,20230501,2
E6011@5,20230501,1
E6011@1,20230501,2
149@5,20230501,1
149@1,20230501,2
1493@5,20230501,1
1493@1,20230501,2
244@5,20230501,1
244@1,20230501,2
2441@5,20230501,1
2441@1,20230501,2
A19@5,20230501,1
A19@1,20230501,2
171@5,20230501,1
171@1,20230501,2
1716@5,20230501,1
1716@1,20230501,2
173@5,20230501,1
173@1,20230501,2
177@5,20230501,1
177@1,20230501,2
178@5,20230501,1
178@1,20230501,2
179@5,20230501,1
179@1,20230501,2
176@5,20230501,1
176@1,20230501,2
M79@5,20230501,1
M79@1,20230501,2
C80@5,20230501,1
C80@1,20230501,2
282@5,20230501,1
282@1,20230501,2
2821@5,20230501,1
2821@1,20230501,2
184@5,20230501,1
184@1,20230501,2
188@5,20230501,1
188@1,20230501,2
189@5,20230501,1
189@1,20230501,2
195@5,20230501,1
195@1,20230501,2
20.21@5,20230501,1
20.21@1,20230501,2
20.6@5,20230501,1
20.6@1,20230501,2
209@5,20230501,1
209@1,20230501,2
210@5,20230501,1
210@1,20230501,2
216@5,20230501,1
216@1,20230501,2
T12A@5,20230501,1
T12A@1,20230501,2
211@5,20230501,1
211@1,20230501,2
A11@5,20230501,1
A11@1,20230501,2
A17@5,20230501,1
A17@1,20230501,2
M10@5,20230501,1
M10@1,20230501,2
A13@5,20230501,1
A13@1,20230501,2
2533@5,20230501,1
2533@1,20230501,2
2543@5,20230501,1
2543@1,20230501,2
255@5,20230501,1
255@1,20230501,2
2562@5,20230501,1
2562@1,20230501,2
2572@5,20230501,1
2572@1,20230501,2
2573@5,20230501,1
2573@1,20230501,2
250@5,20230501,1
250@1,20230501,2
251@5,20230501,1
251@1,20230501,2
254@5,20230501,1
254@1,20230501,2
2541@5,20230501,1
2541@1,20230501,2
2602@5,20230501,1
2602@1,20230501,2
2601@5,20230501,1
2601@1,20230501,2
262@5,20230501,1
262@1,20230501,2
