service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
289@5,0,0,0,0,0,0,0,20230313,20230613
A69@1,1,1,1,1,1,0,0,20230313,20230613
A69@2,0,0,0,0,0,1,0,20230313,20230613
A69@3,0,0,0,0,0,0,1,20230313,20230613
A69@5,0,0,0,0,0,0,0,20230313,20230613
A691@1,1,1,1,1,1,0,0,20230313,20230613
2843@1,1,1,1,1,1,0,0,20230313,20230613
2843@2,0,0,0,0,0,1,0,20230313,20230613
2843@3,0,0,0,0,0,0,1,20230313,20230613
2843@5,0,0,0,0,0,0,0,20230313,20230613
D67@1,1,1,1,1,1,0,0,20230313,20230613
A841@1,1,1,1,1,1,0,0,20230313,20230613
R67@1,1,1,1,1,1,0,0,20230313,20230613
268@1,1,1,1,1,1,0,0,20230313,20230613
268@2,0,0,0,0,0,1,0,20230313,20230613
268@3,0,0,0,0,0,0,1,20230313,20230613
268@5,0,0,0,0,0,0,0,20230313,20230613
168@1,1,1,1,1,1,0,0,20230313,20230613
168@2,0,0,0,0,0,1,0,20230313,20230613
2732@1,1,1,1,1,1,0,0,20230313,20230613
2733@1,1,1,1,1,1,0,0,20230313,20230613
2733@2,0,0,0,0,0,1,0,20230313,20230613
2733@3,0,0,0,0,0,0,1,20230313,20230613
2733@5,0,0,0,0,0,0,0,20230313,20230613
R68@1,1,1,1,1,1,0,0,20230313,20230613
2675@1,1,1,1,1,1,0,0,20230313,20230613
A74@1,1,1,1,1,1,0,0,20230313,20230613
A74@2,0,0,0,0,0,1,0,20230313,20230613
A74@3,0,0,0,0,0,0,1,20230313,20230613
A74@5,0,0,0,0,0,0,0,20230313,20230613
2682@2,0,0,0,0,0,1,0,20230313,20230613
2682@3,0,0,0,0,0,0,1,20230313,20230613
2682@5,0,0,0,0,0,0,0,20230313,20230613
267@1,1,1,1,1,1,0,0,20230313,20230613
2672@1,1,1,1,1,1,0,0,20230313,20230613
2672@2,0,0,0,0,0,1,0,20230313,20230613
2672@3,0,0,0,0,0,0,1,20230313,20230613
2672@5,0,0,0,0,0,0,0,20230313,20230613
A73@1,1,1,1,1,1,0,0,20230313,20230613
M68@1,1,1,1,1,1,0,0,20230313,20230613
M68@2,0,0,0,0,0,1,0,20230313,20230613
M68@3,0,0,0,0,0,0,1,20230313,20230613
M68@5,0,0,0,0,0,0,0,20230313,20230613
