route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_time
266,266@1,266-1@1#1220,,,0,,266-1,2,55
266,266@1,266-1@1#1250,,,0,,266-1,1,55
266,266@1,266-1@1#1320,,,0,,266-1,2,50
266,266@1,266-1@1#1345,,,0,,266-1,1,50
266,266@1,266-1@1#1410,,,0,,266-1,1,50
266,266@1,266-1@1#1440,,,0,,266-1,2,50
266,266@1,266-1@1#1505,,,0,,266-1,1,50
266,266@1,266-1@1#1535,,,0,,266-1,1,50
266,266@1,266-1@1#1600,,,0,,266-1,2,50
266,266@1,266-1@1#1635,,,0,,266-1,1,50
266,266@1,266-1@1#1700,,,0,,266-1,1,50
266,266@1,266-1@1#1725,,,0,,266-1,1,50
266,266@1,266-1@1#1750,,,0,,266-1,2,50
266,266@1,266-1@1#1825,,,0,,266-1,1,50
266,266@1,266-1@1#1850,,,0,,266-1,1,50
266,266@1,266-1@1#1940,,,0,,266-1,2,50
266,266@1,266-1@1#2020,,,0,,266-1,1,50
266,266@1,266-1@1#2045,,,0,,266-1,1,50
266,266@1,266-1@1#2120,,,0,,266-1,1,50
266,266@2,266-1@2#610,,,0,,266-1,2,42
266,266@2,266-1@2#635,,,0,,266-1,2,42
266,266@2,266-1@2#700,,,0,,266-1,2,42
266,266@2,266-1@2#725,,,0,,266-1,2,42
266,266@2,266-1@2#750,,,0,,266-1,2,42
266,266@2,266-1@2#815,,,0,,266-1,2,42
266,266@2,266-1@2#840,,,0,,266-1,2,42
266,266@2,266-1@2#905,,,0,,266-1,2,42
266,266@2,266-1@2#935,,,0,,266-1,2,42
266,266@2,266-1@2#1005,,,0,,266-1,2,42
266,266@2,266-1@2#1035,,,0,,266-1,2,42
266,266@2,266-1@2#1100,,,0,,266-1,2,42
266,266@2,266-1@2#1125,,,0,,266-1,2,42
266,266@2,266-1@2#1150,,,0,,266-1,2,42
266,266@2,266-1@2#1220,,,0,,266-1,2,42
266,266@2,266-1@2#1250,,,0,,266-1,2,42
266,266@2,266-1@2#1310,,,0,,266-1,2,42
266,266@2,266-1@2#1335,,,0,,266-1,2,42
266,266@2,266-1@2#1405,,,0,,266-1,2,42
266,266@2,266-1@2#1435,,,0,,266-1,2,42
266,266@2,266-1@2#1505,,,0,,266-1,2,40
266,266@2,266-1@2#1530,,,0,,266-1,2,40
266,266@2,266-1@2#1555,,,0,,266-1,2,40
266,266@2,266-1@2#1620,,,0,,266-1,2,40
266,266@2,266-1@2#1645,,,0,,266-1,2,40
266,266@2,266-1@2#1710,,,0,,266-1,2,40
266,266@2,266-1@2#1735,,,0,,266-1,2,40
266,266@2,266-1@2#1805,,,0,,266-1,2,40
266,266@2,266-1@2#1840,,,0,,266-1,2,40
266,266@2,266-1@2#1920,,,0,,266-1,2,42
266,266@2,266-1@2#2020,,,0,,266-1,2,42
266,266@2,266-1@2#2125,,,0,,266-1,2,42
266,266@3,266-1@3#615,,,0,,266-1,2,40
266,266@3,266-1@3#645,,,0,,266-1,2,40
266,266@3,266-1@3#715,,,0,,266-1,2,40
266,266@3,266-1@3#745,,,0,,266-1,2,40
266,266@3,266-1@3#815,,,0,,266-1,2,40
266,266@3,266-1@3#845,,,0,,266-1,2,40
266,266@3,266-1@3#920,,,0,,266-1,2,40
266,266@3,266-1@3#950,,,0,,266-1,2,40
266,266@3,266-1@3#1020,,,0,,266-1,2,40
266,266@3,266-1@3#1055,,,0,,266-1,2,40
266,266@3,266-1@3#1130,,,0,,266-1,2,40
266,266@3,266-1@3#1200,,,0,,266-1,2,40
266,266@3,266-1@3#1230,,,0,,266-1,2,40
266,266@3,266-1@3#1305,,,0,,266-1,2,40
266,266@3,266-1@3#1335,,,0,,266-1,2,40
266,266@3,266-1@3#1405,,,0,,266-1,2,40
266,266@3,266-1@3#1440,,,0,,266-1,2,40
266,266@3,266-1@3#1510,,,0,,266-1,2,40
266,266@3,266-1@3#1540,,,0,,266-1,2,40
266,266@3,266-1@3#1610,,,0,,266-1,2,40
266,266@3,266-1@3#1640,,,0,,266-1,2,40
266,266@3,266-1@3#1710,,,0,,266-1,2,40
266,266@3,266-1@3#1745,,,0,,266-1,2,40
266,266@3,266-1@3#1825,,,0,,266-1,2,40
266,266@5,266-1@5#615,,,0,,266-1,2,40
266,266@5,266-1@5#645,,,0,,266-1,2,40
266,266@5,266-1@5#715,,,0,,266-1,2,40
266,266@5,266-1@5#745,,,0,,266-1,2,40
266,266@5,266-1@5#815,,,0,,266-1,2,40
266,266@5,266-1@5#845,,,0,,266-1,2,40
266,266@5,266-1@5#920,,,0,,266-1,2,40
266,266@5,266-1@5#950,,,0,,266-1,2,40
266,266@5,266-1@5#1020,,,0,,266-1,2,40
266,266@5,266-1@5#1055,,,0,,266-1,2,40
266,266@5,266-1@5#1130,,,0,,266-1,2,40
266,266@5,266-1@5#1200,,,0,,266-1,2,40
266,266@5,266-1@5#1230,,,0,,266-1,2,40
266,266@5,266-1@5#1305,,,0,,266-1,2,40
266,266@5,266-1@5#1335,,,0,,266-1,2,40
266,266@5,266-1@5#1405,,,0,,266-1,2,40
266,266@5,266-1@5#1440,,,0,,266-1,2,40
266,266@5,266-1@5#1510,,,0,,266-1,2,40
266,266@5,266-1@5#1540,,,0,,266-1,2,40
266,266@5,266-1@5#1610,,,0,,266-1,2,40
266,266@5,266-1@5#1640,,,0,,266-1,2,40
266,266@5,266-1@5#1710,,,0,,266-1,2,40
266,266@5,266-1@5#1745,,,0,,266-1,2,40
266,266@5,266-1@5#1825,,,0,,266-1,2,40
266,266@1,266-2@1#650,,,1,,266-2,2,55
266,266@1,266-2@1#715,,,1,,266-2,1,55
266,266@1,266-2@1#745,,,1,,266-2,2,55
266,266@1,266-2@1#808,,,1,,266-2,1,50
266,266@1,266-2@1#840,,,1,,266-2,2,50
266,266@1,266-2@1#905,,,1,,266-2,1,50
266,266@1,266-2@1#935,,,1,,266-2,2,50
266,266@1,266-2@1#1000,,,1,,266-2,1,50
266,266@1,266-2@1#1028,,,1,,266-2,2,50
266,266@1,266-2@1#1055,,,1,,266-2,1,50
266,266@1,266-2@1#1125,,,1,,266-2,2,50
266,266@1,266-2@1#1150,,,1,,266-2,1,50
266,266@1,266-2@1#1225,,,1,,266-2,2,50
266,266@1,266-2@1#1250,,,1,,266-2,1,50
266,266@1,266-2@1#1315,,,1,,266-2,2,50
266,266@1,266-2@1#1345,,,1,,266-2,1,50
266,266@1,266-2@1#1415,,,1,,266-2,2,50
266,266@1,266-2@1#1440,,,1,,266-2,1,50
266,266@1,266-2@1#1505,,,1,,266-2,1,50
266,266@1,266-2@1#1535,,,1,,266-2,2,50
266,266@1,266-2@1#1600,,,1,,266-2,1,50
266,266@1,266-2@1#1630,,,1,,266-2,1,55
266,266@1,266-2@1#1655,,,1,,266-2,2,55
266,266@1,266-2@1#1730,,,1,,266-2,1,55
266,266@1,266-2@1#1755,,,1,,266-2,1,55
266,266@1,266-2@1#1820,,,1,,266-2,1,55
266,266@1,266-2@1#1845,,,1,,266-2,2,55
266,266@1,266-2@1#1920,,,1,,266-2,1,55
266,266@1,266-2@1#1945,,,1,,266-2,1,50
266,266@1,266-2@1#2030,,,1,,266-2,2,50
266,266@1,266-2@1#2110,,,1,,266-2,1,50
266,266@1,266-2@1#2135,,,1,,266-2,1,50
266,266@1,266-2@1#2210,,,1,,266-2,1,50
266,266@2,266-2@2#700,,,1,,266-2,2,40
266,266@2,266-2@2#725,,,1,,266-2,2,40
266,266@2,266-2@2#750,,,1,,266-2,2,40
